PK,DID,DOMAIN,CID,CFR-2007-TITLE45-VOL1-PART164,TYPE_CFR-2007-TITLE45-VOL1-PART164,NIST_HIPAA_SECURITY_RULE_TOOLKIT_W_LINEBREAKS,HHS-ONC_SRATK_ID,HHS-ONC_SRATK,HHS-ONC_SRATK_W_LINEBREAKS,HHS-ONC_SRATK_NIST_MAP,TYPE_HHS-ONC_SRATK
1,164.308,164.308 Administrative Safeguards,164.308(a)(1)(i),"(1)(i) Standard: Security management process. Implement policies and procedures to prevent, detect, contain, and correct security violations.",Standard,"Q: Has your organization developed, disseminated, reviewed/updated, and trained on your Risk Assessment policies and procedures?
Q: Does your organization's risk assessment policy address: purpose, scope, roles and responsibilities management commitment, coordination among organizational entities, training and compliance?
Q: Has your organization disseminated your Risk Assessment policies and procedures? 
Q: Has your organization disseminated its Risk Assessment procedures to the work staff/offices with the associated roles and responsibilities?
Q: Has your organization defined the frequency of your Risk Assessment policy and procedures reviews and updates?
Q: Has your organization reviewed and updated your Risk Assessment policy and procedures in accordance with your defined frequency?
Q: Has your organization identified the types of information and uses of that information and the sensitivity of each type of information been evaluated (also link to FIPS 199 and SP 800-60 for more on categorization of sensitivity levels)?
Q: Has your organization identified all information systems that house ePHI? 
Q: Does your organization inventory include all hardware and software that are used to collect, store, process, or transmit ePHI, including excel spreadsheets, word tables, and other like data storage?
Q: Are all the hardware and software for which your organization is responsible periodically inventoried, including excel spreadsheets, word tables, and other like data storage?
Q: Has your organization identified all hardware and software that maintains or transmits ePHI, including excel spreadsheets, word tables, and other similar data storage and included it in your inventory?
Q: Does your organization's inventory include removable media, remote access devices, and mobile devices?
Q: Is the current information system configuration documented, including connections to other systems, both inside and outside your firewall?","A1,A2","(A1): Does your practice develop, document, and implement policies and procedures for assessing and managing risk to its Electronic Protected Health Information (ePHI)?, (A2): Does your practice have a process for periodically reviewing its risk analysis policies and procedures and making updates as necessary?","(A1): Does your practice develop, document, and implement policies and procedures for assessing and managing risk to its Electronic Protected Health Information (ePHI)?
(A2): Does your practice have a process for periodically reviewing its risk analysis policies and procedures and making updates as necessary?",Standard,RA-1
2,164.308,164.308 Administrative Safeguards,164.308(a)(1)(ii)(A),"(A) Risk analysis (Required). Conduct an accurate and thorough assessment of the potential risks and vulnerabilities to the confidentiality, integrity, and availability of electronic protected health information held by the covered entity.",Required,"Q: Has your organization reviewed all processes involving ePHI, including creating, receiving, maintaining, and transmitting it?
Q: Has your organization reviewed the risk analysis and other implementation specifications for the security management process?
Q: Does your organization have any prior risk assessments, audit comments, security requirements, and/or security test results?
Q: What are your organization's current and planned controls? Do you have them formally documented?
Q: Has your organization assigned responsibility to check all hardware and software, including hardware and software used for remote access, to determine whether selected security settings are enabled?
Q: Does your organization have an analysis of current safeguards and their effectiveness relative to the identified risks?
Q: Are any of your organization's facilities located in a region prone to any natural disasters, such as earthquakes, floods, or fires? Others?","A3,A4","(A3): Does your practice categorize its information systems based on the potential impact to your practice should they become unavailable?, (A4): Does your practice periodically complete an accurate and thorough risk analysis, such as upon occurrence of a significant event or change in your business organization or environment?","(A3): Does your practice categorize its information systems based on the potential impact to your practice should they become unavailable?
(A4): Does your practice periodically complete an accurate and thorough risk analysis, such as upon occurrence of a significant event or change in your business organization or environment?",Required,"RA-2,RA-3"
3,164.308,164.308 Administrative Safeguards,164.308(a)(1)(ii)(B),(B) Risk management (Required). Implement security measures sufficient to reduce risks and vulnerabilities to a reasonable and appropriate level to comply with § 164.306(a).,Required,"Q: Does your organization have policies and procedures in place for security? 
Q: Do your organization's current safeguards ensure the confidentiality, integrity, and availability of all ePHI?
Q: Do your organization's current safeguards protect against reasonably anticipated uses and of ePHI that are not permitted by the HIPAA Privacy Rule?
Q: Has your organization protected against all reasonably anticipated threats or hazards to the security and integrity of ePHI?
Q: Does your organization have a formal and documented system security plan? 
Q: Will your organization's new security controls work with your organization's existing IT architecture?
Q: Does your organization have formal and documented contingency plan? 
Q: Does your organization have a communication plan or a process for communicating policies and procedures to your appropriate staff member, office and all your workforce?
Q: Does your organization review and update your policies, procedures and standards as needed and when appropriate?
Q: Has your organization assured compliance with all policies and procedures by all your staff and workforce?
Q: Has your organization developed a training schedule for your Risk Management Program? ","A5,A6,A7,A8","(A5): Does your practice have a formal documented program to mitigate the threats and vulnerabilities to ePHI identified through the risk analysis?, (A6): Does your practice assure that its risk management program prevents against the impermissible use and disclosure of ePHI., (A7): Does your practice document the results of its risk analysis and assure the results are distributed to appropriate members of the workforce who are responsible for mitigating the threats and vulnerabilities to ePHI identified through the risk analysis?, (A8): Does your practice formally document a security plan?","(A5): Does your practice have a formal documented program to mitigate the threats and vulnerabilities to ePHI identified through the risk analysis?
(A6): Does your practice assure that its risk management program prevents against the impermissible use and disclosure of ePHI.
(A7): Does your practice document the results of its risk analysis and assure the results are distributed to appropriate members of the workforce who are responsible for mitigating the threats and vulnerabilities to ePHI identified through the risk analysis?
(A8): Does your practice formally document a security plan?",Required,"PL-2,RA-3,PL-1"
4,164.308,164.308 Administrative Safeguards,164.308(a)(1)(ii)(C),(C) Sanction policy (Required). Apply appropriate sanctions against workforce members who fail to comply with the security policies and procedures of the covered entity.,Required,"Q: Does your organization have in place a formal and documented process, plus policy and procedures that address system misuse, abuse, and any fraudulent activities with your organization's ePHI?
Q: Has your organization made all your staff, employees, and workforce aware of your processes, policy and procedures (concerning sanctions for inappropriate access), use, disclosure, and transmission of ePHI?
Q: Does your organization's sanctions have a tiered structure of sanctions that takes into consideration the magnitude of harm to your organization and the individual whose ePHI is at risk, and the possible types of inappropriate disclosures?
Q: Does your organization have a process, procedure or communication plan of how and when your managers and staff, employees and workforce will be notified of suspected inappropriate activity?","A9,A10","(A9): Does your practice have a formal and documented process or regular human resources policy to discipline workforce members who have access to your organization’s ePHI if they are found to have violated the office’s policies to prevent system misuse, abuse, and any harmful activities that involve your practice's ePHI?, (A10): Does your practice include its sanction policies and procedures as part of its security awareness and training program for all workforce members?","(A9): Does your practice have a formal and documented process or regular human resources policy to discipline workforce members who have access to your organization’s ePHI if they are found to have violated the office’s policies to prevent system misuse, abuse, and any harmful activities that involve your practice's ePHI?
(A10): Does your practice include its sanction policies and procedures as part of its security awareness and training program for all workforce members?",Required,"PS-8,"
5,164.308,164.308 Administrative Safeguards,164.308(a)(1)(ii)(D),"(D) Information system activity review (Required). Implement procedures to regularly review records of information system activity, such as audit logs, access reports, and security incident tracking reports.",Required,"Q: Does your organization have a formal, documented systems activity process and procedures?
Q: Who, and which office/department, within your organization is responsible for overall systems activity process, procedures and results?
Q: How often does your organization review your information systems activity? What are the exceptions to the process that changes the review period?
Q: How often does your organization analyze your systems activity reviews/reports? 
Q: Does your organization review exception reports and logs? 
Q: What mechanisms and measures will your organization implement to assess the effectiveness of your review process?
Q: Does your organization file, electronic and/or paper, monitoring reports, and how are these reports monitored?
Q: Does your organization have a sanction policy for staff, employee or workforce violations? ","A11,A12","(A11): Does your practice have policies and procedures for the review of information system activity?, (A12): Does your practice regularly review information system activity?","(A11): Does your practice have policies and procedures for the review of information system activity?
(A12): Does your practice regularly review information system activity?",Required,"AU-1,AU-6,AU-7,SI-4"
6,164.308,164.308 Administrative Safeguards,164.308(a)(2),(2) Standard: Assigned security responsibility. Identify the security official who is responsible for the development and implementation of the policies and procedures required by this subpart for the entity.,Standard,"Q: Does your organization have a complete security official job description that accurately reflects the security duties and responsibilities? Does it include all areas outlined and spoken of in the questions outlined for this security standard?
Q: Have all your organization's staff, employees, workforce, offices and departments been notified of the name and office to contact with a security problem?","A13,A14,A15,A16","(A13): Does your practice have a senior-level person whose job it is to develop and implement security policies and procedures or act as a security point of contact?, (A14): Is your practice’s security point of contact qualified to assess its security protections as well as serve as the point of contact for security policies, procedures, monitoring, and training?, (A15): Does your practice have a job description for its security point of contact that includes that person's duties, authority, and accountability?, (A16): Does your practice make sure that its workforce members and others with authorized access to your ePHI know the name and contact information for its security point of contact and know to contact this person if there are any security problems?","(A13): Does your practice have a senior-level person whose job it is to develop and implement security policies and procedures or act as a security point of contact?
(A14): Is your practice’s security point of contact qualified to assess its security protections as well as serve as the point of contact for security policies, procedures, monitoring, and training?
(A15): Does your practice have a job description for its security point of contact that includes that person's duties, authority, and accountability?
(A16): Does your practice make sure that its workforce members and others with authorized access to your ePHI know the name and contact information for its security point of contact and know to contact this person if there are any security problems?",Required,"CA-6,IR-2,IR-6"
7,164.308,164.308 Administrative Safeguards,164.308(a)(3)(i),"(3)(i) Standard: Workforce security. Implement policies and procedures to ensure that all members of its workforce have appropriate access to electronic protected health information, as provided under paragraph (a)(4) of this section, and to prevent those workforce members who do not have access under paragraph (a)(4) of this section from obtaining access to electronic protected health information.",Standard,"Q: Has your organization implemented policies and procedures to ensure that any and all staff, employees, and workforce members have appropriate, and only appropriate, access to ePHI; and to prevent the staff, employees, and workforce members who do not have access to ePHI from obtaining access to ePHI?","A17,A18,A19,A20,A21","(A17):  Does your practice have a list that includes all members of its workforce, the roles assigned to each, and the corresponding access that each role enables for your practice’s facilities, information systems, electronic devices, and ePHI?, (A18): Does your practice know all business associates and the access that each requires for your practice’s facilities, information systems, electronic devices, and ePHI?, (A19): Does your practice clearly define roles and responsibilities along logical lines and assures that no one person has too much authority for determining who can access your practice's facilities, information systems, and ePHI?, (A20): Does your practice have policies and procedures that make sure those who need access to ePHI have access and those who do not are denied such access?, (A21): Has your practice chosen someone whose job duty is to decide who can access ePHI (and under what conditions) and to create ePHI access rules that others can follow?","(A17):  Does your practice have a list that includes all members of its workforce, the roles assigned to each, and the corresponding access that each role enables for your practice’s facilities, information systems
electronic devices, and ePHI?
(A18): Does your practice know all business associates and the access that each requires for your practice’s facilities, information systems, electronic devices, and ePHI?
(A19): Does your practice clearly define roles and responsibilities along logical lines and assures that no one person has too much authority for determining who can access your practice's facilities, information systems, and ePHI?
(A20): Does your practice have policies and procedures that make sure those who need access to ePHI have access and those who do not are denied such access?
(A21): Has your practice chosen someone whose job duty is to decide who can access ePHI (and under what conditions) and to create ePHI access rules that others can follow?",Required,"AC-1,AC-5,AC-6,CA-6"
8,164.308,164.308 Administrative Safeguards,164.308(a)(3)(ii),(ii) Implementation specifications:,,Q: Has your organization reviewed the workforce security implementation specifications? ,XXXXX,XXXXX,XXXXX,XXXXX,
9,164.308,164.308 Administrative Safeguards,164.308(a)(3)(ii)(A),(A) Authorization and/or supervision (Addressable). Implement procedures for the authorization and/or supervision of workforce members who work with electronic protected health information or in locations where it might be accessed.,Addressable,"Q: Has your organization implemented procedures for authorization and/or supervision of work force members who work with ePHI or in locations where it might be accessed?
Q: Has your organization defined roles and responsibilities for all job functions? 
Q: Has your organization assigned appropriate levels of security level oversight, training and access to each role?
Q: Does your organization have a listing in writing who has the business need, and who has been granted permission, to view, alter, retrieve, and store ePHI, and at what times, and under what circumstances and for what purposes?
Q: Does your organization have written job descriptions that are correlated with appropriate levels of access?
Q: Does your organization have an established set of qualifications for each job description? 
Q: Does your organization check a candidate's qualifications against a specific job description? 
Q: Has your organization made a determination of each candidate for a specific position can perform the tasks for that position?
Q: Has your organization established chains or command and lines of authority for workforce security?
Q: Has your organization established a process for maintenance personnel authorization and maintain a current list of authorized maintenance organizations and personnel?
Q: Has your organization made your work staff aware of the identity and roles of their supervisors?
Q: Has your organization provided staff, employees, and workforce members with a copy of their job descriptions, informed of the access granted to them, as well as the conditions by which this access can be used?","A22,A23,A24,A25","(A22): Does your practice define roles and job duties for all job functions and keep written job descriptions that clearly set forth the qualifications?, (A23): Does your practice have policies and procedures for access authorization that support segregation of duties?, (A24): Does your practice implement procedures for authorizing users and changing authorization permissions?, (A25): Do your practice’s policies and procedures for access authorization address the needs of those who are not members of its workforce?","(A22): Does your practice define roles and job duties for all job functions and keep written job descriptions that clearly set forth the qualifications?
(A23): Does your practice have policies and procedures for access authorization that support segregation of duties?
(A24): Does your practice implement procedures for authorizing users and changing authorization permissions?
(A25): Do your practice’s policies and procedures for access authorization address the needs of those who are not members of its workforce?",Addressable,"AC-1,PS-1,AC-3,MP-2,PS-6,AC-2,MA-5,PS-7"
10,164.308,164.308 Administrative Safeguards,164.308(a)(3)(ii)(B),(B) Workforce clearance procedure (Addressable). Implement procedures to determine that the access of a workforce member to electronic protected health information is appropriate.,Addressable,"Q: Does your organization check an applicant's employment and educational references, if this is reasonable for such a job description?
Q: Does your organization do background checks, such as a Criminal Offender Record Information (CORI) check, if appropriate in the circumstances?
Q: Does your organization have a process and strategy that supports your organization's authorizes who are permitted to designate and grant access to ePHI?
Q: Does your organization have formal and documented procedures for obtaining the necessary and appropriate sign-offs within your organizational structure to both grant and terminate access to ePHI?","A26,A27","(A26): Does your organization have policies and procedures that authorize members of your workforce to have access to ePHI and describe the types of access that are permitted?, (A27): Do your practice’s policies and procedures require screening workforce members prior to enabling access to its facilities, information systems, and ePHI to verify that users are trustworthy?","(A26): Does your organization have policies and procedures that authorize members of your workforce to have access to ePHI and describe the types of access that are permitted?
(A27): Do your practice’s policies and procedures require screening workforce members prior to enabling access to its facilities, information systems, and ePHI to verify that users are trustworthy?",Addressable,"PS-1,PS-6,PS-2,PS-3"
