Sort,Function,Category,Subcategory,Description,Covered ,Notes
1.1.1,IDENTIFY (ID),"Asset Management (ID.AM):
The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization’s risk strategy.",,,,
1.1.2,,,ID.AM-1,Physical devices and systems within the organization are inventoried,"111s (Hardware, Media, Mobile Devices, IoT, Medical Devices, and Asset Management)",
1.1.3,,,ID.AM-2,Software platforms and applications within the organization are inventoried,"111s (Hardware, Media, Mobile Devices, IoT, Medical Devices, and Asset Management)","Not seperately addressed, but does mention a catalog of software"
1.1.4,,,ID.AM-3,Organizational communication and data flows are mapped,"111s (Hardware, Media, Mobile Devices, IoT, Medical Devices, and Asset Management)",Network diagrams and interfaces
1.1.5,,,ID.AM-4,External information systems are catalogued,,Not addressed
1.1.6,,,ID.AM-5,"Resources (e.g., hardware, devices, data, time, personnel, and software) are prioritized based on their classification, criticality, and business value ","109s (BCDR) 
115s (Access Control & Data Classification)",BCDR addresses sorftware/application criticality / 115 addresses data criticality based on roles. 
1.1.7,,,ID.AM-6,"Cybersecurity roles and responsibilities for the entire workforce and third-party stakeholders (e.g., suppliers, customers, partners) are established",,
1.2.1,,"Business Environment (ID.BE):
The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions.",,,,
1.2.2,,,ID.BE-1,The organization’s role in the supply chain is identified and communicated,,
1.2.3,,,ID.BE-2,The organization’s place in critical infrastructure and its industry sector is identified and communicated,,
1.2.4,,,ID.BE-3,"Priorities for organizational mission, objectives, and activities are established and communicated",,
1.2.5,,,ID.BE-4,Dependencies and critical functions for delivery of critical services are established,,
1.2.6,,,ID.BE-5,"Resilience requirements to support delivery of critical services are established for all operating states (e.g. under duress/attack, during recovery, normal operations)",,
1.3.1,,"Governance (ID.GV):
The policies, procedures, and processes to manage and monitor the organization’s regulatory, legal, risk, environmental, and operational requirements are understood and inform the management of cybersecurity risk.",,,,
1.3.2,,,ID.GV-1,Organizational cybersecurity policy is established and communicated,,
1.3.3,,,ID.GV-2,Cybersecurity roles and responsibilities are coordinated and aligned with internal roles and external partners,,
1.3.4,,,ID.GV-3,"Legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, are understood and managed",,
1.3.5,,,ID.GV-4,Governance and risk management processes address cybersecurity risks,,
1.4.1,,"Risk Assessment (ID.RA):
The organization understands the cybersecurity risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals.",,,,
1.4.2,,,ID.RA-1,Asset vulnerabilities are identified and documented,,
1.4.3,,,ID.RA-2,Cyber threat intelligence is received from information sharing forums and sources.,,
1.4.4,,,ID.RA-3,"Threats, both internal and external, are identified and documented",,
1.4.5,,,ID.RA-4,Potential business impacts and likelihoods are identified,,
1.4.6,,,ID.RA-5,"Threats, vulnerabilities, likelihoods, and impacts are used to determine risk",,
1.4.7,,,ID.RA-6,Risk responses are identified and prioritized,,
1.5.1,,"Risk Management Strategy (ID.RM):
The organization’s priorities, constraints, risk tolerances, and assumptions are established and used to support operational risk decisions.",,,,
1.5.2,,,ID.RM-1,"Risk management processes are established, managed, and agreed to by organizational stakeholders",,
1.5.3,,,ID.RM-2,Organizational risk tolerance is determined and clearly expressed,,
1.5.4,,,ID.RM-3,The organization’s determination of risk tolerance is informed by its role in critical infrastructure and sector specific risk analysis,,
1.6.1,,"Supply Chain Risk Management (ID.SC):
The organization’s priorities, constraints, risk tolerances, and assumptions are established and used to support risk decisions associated with managing supply chain risk. The organization has established and implemented the processes to identify, assess and manage supply chain risks.",,,,
1.6.2,,,ID.SC-1,"Cyber supply chain risk management processes are identified, established, assessed, managed, and agreed to by organizational stakeholders",,
1.6.3,,,ID.SC-2,"Suppliers and third party partners of information systems, components, and services are identified, prioritized, and assessed using a cyber supply chain risk assessment process ",,
1.6.4,,,ID.SC-3,Contracts with suppliers and third-party partners are used to implement appropriate measures designed to meet the objectives of an organization’s cybersecurity program and Cyber Supply Chain Risk Management Plan.,,
1.6.5,,,ID.SC-4,"Suppliers and third-party partners are routinely assessed using audits, test results, or other forms of evaluations to confirm they are meeting their contractual obligations.",,
1.6.6,,,ID.SC-5,Response and recovery planning and testing are conducted with suppliers and third-party providers,,
2.1.1,PROTECT (PR),"Identity Management, Authentication and Access Control (PR.AC): Access to physical and logical assets and associated facilities is limited to authorized users, processes, and devices, and is managed consistent with the assessed risk of unauthorized access to authorized activities and transactions.",,,,
2.1.2,,,PR.AC-1,"Identities and credentials are issued, managed, verified, revoked, and audited for authorized devices, users and processes",,
2.1.2,,,PR.AC-2,Physical access to assets is managed and protected,,
2.1.3,,,PR.AC-3,Remote access is managed,,
2.1.4,,,PR.AC-4,"Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties",,
2.1.5,,,PR.AC-5,"Network integrity is protected (e.g., network segregation, network segmentation)",,
2.1.6,,,PR.AC-6,Identities are proofed and bound to credentials and asserted in interactions,,
2.1.7,,,PR.AC-7,"Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)",,
2.2.1,,"Awareness and Training (PR.AT):
The organization’s personnel and partners are provided cybersecurity awareness education and are trained to perform their cybersecurity-related duties and responsibilities consistent with related policies, procedures, and agreements.",,,,
2.2.2,,,PR.AT-1,All users are informed and trained ,,
2.2.3,,,PR.AT-2,Privileged users understand their roles and responsibilities ,,
2.2.3,,,PR.AT-3,"Third-party stakeholders (e.g., suppliers, customers, partners) understand their roles and responsibilities ",,
2.2.4,,,PR.AT-4,Senior executives understand their roles and responsibilities ,,
2.2.5,,,PR.AT-5,Physical and cybersecurity personnel understand their roles and responsibilities ,,
2.3.1,,"Data Security (PR.DS):
Information and records (data) are managed consistent with the organization’s risk strategy to protect the confidentiality, integrity, and availability of information.",,,,
2.3.2,,,PR.DS-1,Data-at-rest is protected,,
2.3.3,,,PR.DS-2,Data-in-transit is protected,,
