NIST Privacy Framework Preliminary Draft Core,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,Shading Key:,,"The Function, Category, or Subcategory aligns with the Cybersecurity Framework, but the text has been adapted for the Privacy Framework.",,
,,,The Category or Subcategory is identical to the Cybersecurity Framework.,,
,Function,,Category,,Subcategory
,IDENTIFY-P (ID-P): Develop the organization­al under­standing to manage privacy risk for individuals arising from data processing., ,"Inventory and Mapping (ID.IM-P): Data processing by systems, products, or services is understood and informs the management of privacy risk.",,ID.IM-P1: Systems/products/services that process data are inventoried.
,,,,,"ID.IM-P2: Owners or operators (e.g., the organization or third parties such as service providers, partners, customers, and developers) and their roles with respect to the systems/products/services and components (e.g., internal or external) that process data are inventoried."
,,,,,"ID.IM-P3: Categories of individuals (e.g., customers, employees or prospective employees, consumers) whose data are being processed are inventoried."
,,,,,ID.IM-P4: Data actions of the systems/products/services are inventoried.
,,,,,ID.IM-P5: The purposes for the data actions are inventoried.
,,,,,ID.IM-P6: Data elements within the data actions are inventoried.
,,,,,"ID.IM-P7: The data processing environment is identified (e.g., geographic location, internal, cloud, third parties)."
,,,,,"ID.IM-P8: Data processing is mapped, illustrating the data actions and associated data elements for systems/products/services, including components; roles of the component owners/operators; and interactions of individuals or third parties with the systems/products/services."
,,,"Business Environment (ID.BE-P): The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform privacy roles, responsibilities, and risk management decisions.",,ID.BE-P1: The organization’s role in the data processing ecosystem is identified and communicated.
,,,,,"ID.BE-P2: Priorities for organizational mission, objectives, and activities are established and communicated."
,,,,,ID.BE-P3: Systems/products/services that support organizational priorities are identified and key requirements communicated.
,,,"Risk Assessment (ID.RA-P): The organization understands the privacy risks to individuals and how such privacy risks may create follow-on impacts on organizational operations, including mission, functions, other risk management priorities (e.g. compliance, financial), reputation, workforce, and culture.",,"ID.RA-P1: Contextual factors related to the systems/products/services and the data actions are identified (e.g., individuals’ demographics and privacy interests or perceptions, data sensitivity, visibility of data processing to individuals and third parties). "
,,,,,ID.RA-P2: Data analytic inputs and outputs are identified and evaluated for bias.
,,,,,ID.RA-P3: Potential problematic data actions and associated problems are identified. 
,,,,,"ID.RA-P4: Problematic data actions, likelihoods, and impacts are used to determine and prioritize risk."
,,,,,"ID.RA-P5: Risk responses are identified, prioritized, and implemented."
,,,"Data Processing Ecosystem Risk Management (ID.DE-P): The organization’s priorities, constraints, risk tolerances, and assumptions are established and used to support risk decisions associated with managing privacy risk and third parties within the data processing ecosystem. The organization has established and implemented the processes to identify, assess, and manage privacy risks within the data processing ecosystem.",,"ID.DE-P1: Data processing ecosystem risk management processes are identified, established, assessed, managed, and agreed to by organizational stakeholders."
,,,,,"ID.DE-P2: Data processing ecosystem parties (e.g., service providers, customers, partners, product manufacturers, application developers) are identified, prioritized, and assessed using a privacy risk assessment process."
,,,,,ID.DE-P3: Contracts with data processing ecosystem parties are used to implement appropriate measures designed to meet the objectives of an organization’s privacy program. 
