Critical Security Controls Executive Assessment Tool (v7.0c),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Risk Addressed:,,0.0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Risk Accepted:,,1.0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Critical Security Control #1: Inventory and Control of Hardware Assets,,,,,,,,,,,,,,,,,,,,,,,,
Has your organization implemented scanning tools (active & passive) to identify all the devices attached to the network?,,,,,,,,,,,,,,,,,Select one of the Following:,,,,,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,
"Has your organization implemented a network port control solution (802.1x), which requires certificates, to authenticate devices before they can connect to the network?",,,,,,,,,,,,,,,,,Select one of the Following:,,,,,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,
Critical Security Control #2: Inventory and Control of Software Assets,,,,,,,,,,,,,,,,,,,,,,,,
Has your organization implemented scanning tools to identify all software applications installed in the organization?,,,,,,,,,,,,,,,,,Select one of the Following:,,,,,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,
Has your organization implemented a software whitelisting tool that only allows authorized software program to execute on the organization's systems?,,,,,,,,,,,,,,,,,Select one of the Following:,,,,,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,
Critical Security Control #3: Continuous Vulnerability Management,,,,,,,,,,,,,,,,,,,,,,,,
Has your organization implemented scanning tools to identify any software vulnerabilities on systems in the organization?,,,,,,,,,,,,,,,,,Select one of the Following:,,,,,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,
Has your organization implemented an automated patch management system to continuously update the organization's systems?,,,,,,,,,,,,,,,,,Select one of the Following:,,,,,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,
Critical Security Control #4: Controlled Use of Administrative Privileges,,,,,,,,,,,,,,,,,,,,,,,,
Has your organization implemented a scanning tool to inventory all users with elevated administrative rights on the organization's systems?,,,,,,,,,,,,,,,,,Select one of the Following:,,,,,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,
Has your organization ensured that only users with clear business need are granted elevated administrative rights on the organization's systems?,,,,,,,,,,,,,,,,,Select one of the Following:,,,,,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,
Critical Security Control #5: Secure Configuration for Hardware and Software,,,,,,,,,,,,,,,,,,,,,,,,
Has your organization implemented scanning tools to identify any mis-configured security settings on systems in the organization?,,,,,,,,,,,,,,,,,Select one of the Following:,,,,,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,
Has your organization implemented a security setting configuration enforcement system on the organization's systems?,,,,,,,,,,,,,,,,,Select one of the Following:,,,,,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,
"Critical Security Control #6: Maintenance, Monitoring, and Analysis of Audit Logs",,,,,,,,,,,,,,,,,,,,,,,,
Has your organization enabled comprehensive audit logging on each of its critical information systems (including network devices and applications)?,,,,,,,,,,,,,,,,,Select one of the Following:,,,,,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,
Has your organization centrally aggregated their critical audit logs on a Security Information and Event Management (SIEM) platform?,,,,,,,,,,,,,,,,,Select one of the Following:,,,,,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
This work is licensed under a Creative Commons Attribution-ShareAlike 4.0 International License.,,,,,,,,,,,,,,,,,,,,,,,,
