Critical Security Controls Initial Assessment Tool (v7.0b),Unnamed: 1,Unnamed: 2,Unnamed: 3
,,,
Instructions - Read me first.,,,
"The purpose for this tool is to provide organizations with a simple tool for performing an initial assessment of their information assurance maturity level based on the controls defined by the Critical Security Controls and the Council on Cybersecurity. Any questions about how this tool works or suggestions can be directed to info@auditscripts.com. In order to use this tool, the assessor must only complete the answers to the drop down menu questions lists on the pages labeled CSC #1 - CSC #20. By choosing a drop down choice for each critical control, the assessment tool will automatically generate scores and maturity level based on the answers to each question. Based on the answers to each question, the dashboard worksheet will automatically populate with the overall maturity level scores for the organization as a whole. These scores can therefore be used to measure the organization's progress and what percentage of the Critical Security Controls they are currently following. Ideally in the long term organizations would deploy tools that would automate the collection of this information, but in the meanwhile, this tool can be used to help start the process of manually assessing the organization's maturity level.",,,
,,,
Field Definitions,,,
ID,,,This is the ID number of the specific critical security control sub-control reference as included in the Critical Security Controls documentation.
Critical Security Control Detail,,,This is the detail behind each specific sub-control as defined by the Critical Security Controls documentation.
EOF Function,,,"This standards for ""Executive Order Framework (EOF)"" function. These functions were defined by NIST in the EOF and act as control characteristics."
Sensor or Baseline,,,This is the type of technical system or baseline that we believe is necessary in order to implement the specific sub control.
Policy Approved,,,This question determines whether the organization currently has a policy defined that indicates that they should be implementing the defined sub control.
Control Implemented,,,This question determines whether or not the organization currently has implemented this sub control and to what degree the control has been implemented.
Control Automated,,,This question determines whether or not the organization currently has automated the implementation of this sub control and to what degree the control has been automated.
Control Reported to Business,,,This question determines whether or not the organization is reporting this sub control to business representatives and to what degree the control has been reported.
,,,
,,,
This work is licensed under a Creative Commons Attribution-ShareAlike 4.0 International License.,,,
